apers apres asper pares parse pears rapes reaps spare spear  : 10 anagrams. 
least setal slate stale steal taels tales teals tesla  : 9 anagrams. 
capers casper crapes escarp pacers parsec recaps scrape spacer  : 9 anagrams. 
palest palets pastel petals plates pleats septal staple  : 8 anagrams. 
estrin inerts insert inters niters nitres sinter trines  : 8 anagrams. 
carets cartes caster caters crates reacts recast traces  : 8 anagrams. 
peris piers pries prise ripes spier spire  : 7 anagrams. 
nestor noster noters stoner tenors tensor toners  : 7 anagrams. 
merits mister miters mitres remits smiter timers  : 7 anagrams. 
lapse leaps pales peals pleas sepal spale  : 7 anagrams. 
drapes padres parsed rasped spader spared spread  : 7 anagrams. 
deist diets dites edits sited stied tides  : 7 anagrams. 
dater derat rated tarde tared trade tread  : 7 anagrams. 
caret carte cater crate react recta trace  : 7 anagrams. 
aspers parses passer repass spares sparse spears  : 7 anagrams. 
ares arse ears eras rase sear sera  : 7 anagrams. 
alerts alters laster salter slater staler talers  : 7 anagrams. 
stater strate taster taters tetras treats  : 6 anagrams. 
reins resin rinse risen serin siren  : 6 anagrams. 
reigns renigs resign sering signer singer  : 6 anagrams. 
petrous posture pouters proteus spouter troupes  : 6 anagrams. 
paste pates peats septa spate tapes  : 6 anagrams. 
parts prats sprat strap tarps traps  : 6 anagrams. 
parties pastier piaster piastre pirates traipse  : 6 anagrams. 
opts post pots spot stop tops  : 6 anagrams. 
notes onset seton steno stone tones  : 6 anagrams. 
nastier retains retinas retsina stainer stearin  : 6 anagrams. 
lusters lustres results rustles sutlers ulsters  : 6 anagrams. 
luster lustre result rustle sutler ulster  : 6 anagrams. 
leasts slates stales steals tassel teslas  : 6 anagrams. 
laves salve slave vales valse veals  : 6 anagrams. 
lavers ravels salver serval slaver versal  : 6 anagrams. 
keats skate stake steak takes teaks  : 6 anagrams. 
estrange grantees greatens negaters reagents sergeant  : 6 anagrams. 
ester reset steer stere terse trees  : 6 anagrams. 
esprits persist priests spriest sprites stripes  : 6 anagrams. 
esprit priest ripest sprite stripe tripes  : 6 anagrams. 
enviers inverse veiners veneris venires versine  : 6 anagrams. 
earls lares laser rales reals seral  : 6 anagrams. 
earings erasing gainers regains reginas searing  : 6 anagrams. 
deltas desalt lasted salted slated staled  : 6 anagrams. 
dearths hardest hardset hatreds threads trashed  : 6 anagrams. 
aspirer parries praiser rapiers raspier repairs  : 6 anagrams. 
artiest artiste attires iratest striate tastier  : 6 anagrams. 
arrest rarest raster raters starer terras  : 6 anagrams. 
arils lairs liars liras rails rials  : 6 anagrams. 
aretes easter eaters reseat seater teaser  : 6 anagrams. 
apter parte pater peart prate taper  : 6 anagrams. 
angriest astringe gantries granites ingrates rangiest  : 6 anagrams. 
alerting altering integral relating tanglier triangle  : 6 anagrams. 
acred arced cadre cared cedar raced  : 6 anagrams. 
abets baste bates beast beats betas  : 6 anagrams. 
weird wider wierd wired wried  : 5 anagrams. 
swat taws twas wast wats  : 5 anagrams. 
rues ruse suer sure user  : 5 anagrams. 
riots tiros torsi trios trois  : 5 anagrams. 
retests setters streets tersest testers  : 5 anagrams. 
restrain retrains strainer terrains trainers  : 5 anagrams. 
respects scepters sceptres specters spectres  : 5 anagrams. 
respect scepter sceptre specter spectre  : 5 anagrams. 
resow serow sower swore worse  : 5 anagrams. 
resaw sawer swear wares wears  : 5 anagrams. 
recused reduces rescued secured seducer  : 5 anagrams. 
realist retails saltier slatier tailers  : 5 anagrams. 
pores poser prose ropes spore  : 5 anagrams. 
phasers phrases seraphs shapers sherpas  : 5 anagrams. 
phaser phrase seraph shaper sherpa  : 5 anagrams. 
peins penis pines snipe spine  : 5 anagrams. 
pastries piasters piastres raspiest traipses  : 5 anagrams. 
paster paters prates repast tapers  : 5 anagrams. 
part prat rapt tarp trap  : 5 anagrams. 
parleys parsley players replays sparely  : 5 anagrams. 
parers parser rapers rasper sparer  : 5 anagrams. 
palters plaster platers psalter stapler  : 5 anagrams. 
painters pantries parentis pertains repaints  : 5 anagrams. 
nepal panel penal plane plena  : 5 anagrams. 
merit miter mitre remit timer  : 5 anagrams. 
mates meats steam tames teams  : 5 anagrams. 
mate meat meta tame team  : 5 anagrams. 
mares marse maser reams smear  : 5 anagrams. 
lister liters litres relist tilers  : 5 anagrams. 
leviers relives reviles servile veilers  : 5 anagrams. 
leos lose oles sloe sole  : 5 anagrams. 
lave leva vale veal vela  : 5 anagrams. 
lair liar lira rail rial  : 5 anagrams. 
islet istle lites stile tiles  : 5 anagrams. 
inert inter niter nitre trine  : 5 anagrams. 
hops hosp posh shop soph  : 5 anagrams. 
heros hoers horse shoer shore  : 5 anagrams. 
hares hears rheas share shear  : 5 anagrams. 
grantee greaten negater reagent rentage  : 5 anagrams. 
gapers gasper grapes pagers sparge  : 5 anagrams. 
filets fliest flites itself stifle  : 5 anagrams. 
fetors forest fortes foster softer  : 5 anagrams. 
eviler levier relive revile veiler  : 5 anagrams. 
evil levi live veil vile  : 5 anagrams. 
esters resets serest steers steres  : 5 anagrams. 
eros ores roes rose sore  : 5 anagrams. 
eroding groined ignored negroid redoing  : 5 anagrams. 
enters ernest nester resent tenser  : 5 anagrams. 
enlist inlets listen silent tinsel  : 5 anagrams. 
emits items mites smite times  : 5 anagrams. 
elvis evils levis lives veils  : 5 anagrams. 
elastin entails nailset salient saltine  : 5 anagrams. 
editors sortied steroid storied triodes  : 5 anagrams. 
east eats sate seat teas  : 5 anagrams. 
earns nares nears saner snare  : 5 anagrams. 
earless leasers resales reseals sealers  : 5 anagrams. 
drupes dupers perdus prudes pursed  : 5 anagrams. 
drawer redraw reward warder warred  : 5 anagrams. 
destain detains instead sainted stained  : 5 anagrams. 
derries desirer redries resider serried  : 5 anagrams. 
delist idlest listed silted tildes  : 5 anagrams. 
delis idles isled sidle slide  : 5 anagrams. 
deers redes reeds seder sered  : 5 anagrams. 
daters derats stared trades treads  : 5 anagrams. 
danger gander garden grande ranged  : 5 anagrams. 
dales deals lades lased leads  : 5 anagrams. 
cruse cures curse ecrus sucre  : 5 anagrams. 
cruet cuter eruct recut truce  : 5 anagrams. 
craals lascar rascal sacral scalar  : 5 anagrams. 
corset coster escort rectos sector  : 5 anagrams. 
cions coins icons scion sonic  : 5 anagrams. 
carpels clasper parcels placers scalper  : 5 anagrams. 
caper carpe crape pacer recap  : 5 anagrams. 
canters nectars recants scanter trances  : 5 anagrams. 
canter centra nectar recant trance  : 5 anagrams. 
bares baser bears braes saber  : 5 anagrams. 
bardes beards breads debars sabred  : 5 anagrams. 
